PartnerUniProtID,Publications
P05622,imex:IM-30463|pubmed:31287804
P06126,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P06213,imex:IM-29494|pubmed:35384245
P06733,imex:IM-16425|pubmed:23414517
P06935,imex:IM-14442|pubmed:16275649
P07437,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P07476,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P07478,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P07948,imex:IM-13601|pubmed:20159608
P08034,imex:IM-25472|pubmed:32296183
P08069,imex:IM-27093|imex:IM-29494|pubmed:15289498|pubmed:35384245
P08069-PRO_0000016682,imex:IM-27093|pubmed:15289498
P09382,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P0CG37,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P0DPA2,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P0DPK4,imex:IM-25472|pubmed:32296183
P0DTC8,doi:10.1038/s41586-020-2286-9|imex:IM-27814|imex:IM-28441|pubmed:32353859|pubmed:33060197
P10636-8,imex:IM-29773|pubmed:35063084
P11021,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P11177,imex:IM-15364|pubmed:21988832
P11279,imex:IM-26301|pubmed:29568061
P11686,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P11717,imex:IM-24272|pubmed:26496610
P11912,imex:IM-25472|pubmed:32296183
P12236,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P12821-3,imex:IM-27860|pubmed:22523556
P13569,imex:IM-29540|pubmed:36012204
P14555-PRO_0000022750,imex:IM-26204|pubmed:25398877
P14625,imex:IM-24272|pubmed:26496610
P14780,imex:IM-19961|pubmed:12724312
P15151,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P15336,imex:IM-17307|pubmed:22304920
P15498,doi:10.1016/j.cell.2019.09.008|imex:IM-27423|pubmed:31585087
P15941-11,imex:IM-25472|pubmed:32296183
P16234,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P17931,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P18431-3,imex:IM-16527|pubmed:25294943
P19256-3,doi:10.1074/mcp.ra118.000924|imex:IM-26653|pubmed:30021884
P19320,imex:IM-14135|imex:IM-17358|pubmed:19738201|pubmed:22623428
P19357,mint:MINT-5218203|pubmed:16396496
P20020-6,imex:IM-24272|pubmed:26496610
P20339,imex:IM-20461|imex:IM-26434|pubmed:16754960|pubmed:31980649
P21675,imex:IM-16425|pubmed:23414517
