PartnerUniProtID,Publications
Q676U5-1,imex:IM-29997|pubmed:31015422
Q6P4A7,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q70UQ0,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q81UH3,imex:IM-13779|pubmed:20711500
Q8CZG2,imex:IM-13779|pubmed:20711500
Q8CZH4,imex:IM-13779|pubmed:20711500
Q8IXL6,imex:IM-25629|pubmed:22582013
Q8IZH2,pubmed:15231747
Q8N129,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q8N1G4,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q8N465,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q8N488,imex:IM-29168|pubmed:34316702
Q8N7U7,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q8N807,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q8N9F7,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q8N9F7-2,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q8NFL0,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q8NHY2,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q8NHY2-1,imex:IM-23043|pubmed:25117710
Q8TEB9,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q8WWY8,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q8ZFB2,imex:IM-13779|pubmed:20711500
Q92564,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q92764,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q969J2,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q96A44,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q96BY9,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q96DA0,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q96IQ9,imex:IM-25472|pubmed:32296183
Q96J42,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q96JB6,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q96RD2,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q99619,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q99943,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9BS26,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9BXJ5,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9BXN1,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9BY76,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q9D0P8,imex:IM-24977|pubmed:26885862
Q9D415,doi:10.1038/nn.4594|imex:IM-26285|pubmed:28671696
Q9GZQ3,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9H0X4,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9H114,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9H3D4,imex:IM-15364|pubmed:21988832
Q9H4I9,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9H6Z9,imex:IM-22750|pubmed:26972000
Q9HB40,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9HCJ2,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9NRI5,imex:IM-26801|pubmed:31413325
Q9NWM8,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9NYU1,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q9P206,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9Q2G4,"imex:IM-17346|psi-mi:""MI:0007""|pubmed:22190034"
Q9UBC7,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9UBM4,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9UHF0,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9UIL8,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9UK08,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9UK58,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9UK85,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9UPQ4,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9UQ88,doi:10.1016/j.molcel.2020.07.001|imex:IM-29257|pubmed:32707033
Q9Y215,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9Y287,imex:IM-29868|pubmed:34446781
Q9Y5X9,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q9Y661,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
"chebi:""CHEBI:16024""",imex:IM-20862|pubmed:23300094
"chebi:""CHEBI:64394""",imex:IM-17900|pubmed:21712045
intact:EBI-22243195,doi:10.1016/j.cell.2019.09.008|imex:IM-27423|pubmed:31585087
intact:EBI-22250306,doi:10.1016/j.cell.2019.09.008|imex:IM-27423|pubmed:31585087
intact:EBI-22264557,doi:10.1016/j.cell.2019.09.008|imex:IM-27423|pubmed:31585087
intact:EBI-22264711,doi:10.1016/j.cell.2019.09.008|imex:IM-27423|pubmed:31585087
intact:EBI-22265652,doi:10.1016/j.cell.2019.09.008|imex:IM-27423|pubmed:31585087
