PartnerUniProtID,Publications
Q5T653,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q61166,imex:IM-24272|pubmed:26496610
Q676U5-1,imex:IM-29997|pubmed:31015422
Q6P161,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q6P1L8,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q6P587,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q6PI48,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q6XE24,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q75WM6,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q7Z2W9,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q7Z7F7,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q7Z7F7-2,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q7Z7H8,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q86TS9,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q8IWL3,imex:IM-25655|pubmed:28380382
Q8IXM3,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q8N5N7,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-24272|imex:IM-25778|imex:IM-29278|pubmed:26496610|pubmed:28514442|pubmed:33961781
Q8N983,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q8N983-4,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q8NB90,imex:IM-30175|pubmed:38554706
Q8NCN5,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q8TAE8,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q8TCC3,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q8TCC3-2,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q8WTV1,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q8WUA2,imex:IM-30059|pubmed:39251607
Q95TJ9,imex:IM-16524|mint:MINT-5216804|pubmed:14605208
Q969Q0,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q96A35,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q96DV4,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q96E35,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q96EH3,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q96EL3,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q96FI4,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q96GC5,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q96PU8,imex:IM-30059|pubmed:39251607
Q99JP4,imex:IM-24272|pubmed:26496610
Q9BQ48,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9BQC6,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9BRJ2,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q9BRU9,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9BTZ2,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9BVP2,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9BVQ7,imex:IM-30175|pubmed:38554706
Q9BVS5,imex:IM-26301|pubmed:29568061
Q9BW92,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9BYC8,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
