# ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P38793	uniprotkb:P43601	uniprotkb:D3DL19|intact:EBI-24581|uniprotkb:P38793	uniprotkb:D6VTQ1|intact:EBI-22968|uniprotkb:P43601	psi-mi:trm5_yeast(display_short)|psi-mi:"tRNA (guanine(37)-N(1))-methyltransferase"(display_long)|uniprotkb:YHR070W(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:tRNA methyltransferase 5(gene name synonym)|uniprotkb:TRM5(gene name)	psi-mi:atg18_yeast(display_short)|psi-mi:Autophagy-related protein 18(display_long)|uniprotkb:ATG18(gene name)|uniprotkb:Needed for premeiotic replication protein 1(gene name synonym)|uniprotkb:Swollen vacuole phenotype protein 1(gene name synonym)|uniprotkb:Cytoplasm to vacuole targeting protein 18(gene name synonym)|uniprotkb:SVP1(gene name synonym)|uniprotkb:CVT18(gene name synonym)|uniprotkb:AUT10(gene name synonym)|uniprotkb:YFR021W(locus name)|uniprotkb:NMR1(gene name synonym)	psi-mi:"MI:0676"(tandem affinity purification)	Krogan NJ et al.(2006)	intact:EBI-6933337|doi:10.1038/nature04670|mint:MINT-1978243|mint:MINT-5218454|pubmed:16554755|imex:IM-15332	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-7094296|mint:MINT-2048768|imex:IM-15332-5692	intact-miscore:0.44
uniprotkb:P43601	uniprotkb:P38793	uniprotkb:D6VTQ1|intact:EBI-22968|uniprotkb:P43601	uniprotkb:D3DL19|intact:EBI-24581|uniprotkb:P38793	psi-mi:atg18_yeast(display_short)|psi-mi:Autophagy-related protein 18(display_long)|uniprotkb:ATG18(gene name)|uniprotkb:Needed for premeiotic replication protein 1(gene name synonym)|uniprotkb:Swollen vacuole phenotype protein 1(gene name synonym)|uniprotkb:Cytoplasm to vacuole targeting protein 18(gene name synonym)|uniprotkb:SVP1(gene name synonym)|uniprotkb:CVT18(gene name synonym)|uniprotkb:AUT10(gene name synonym)|uniprotkb:YFR021W(locus name)|uniprotkb:NMR1(gene name synonym)	psi-mi:trm5_yeast(display_short)|psi-mi:"tRNA (guanine(37)-N(1))-methyltransferase"(display_long)|uniprotkb:YHR070W(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:tRNA methyltransferase 5(gene name synonym)|uniprotkb:TRM5(gene name)	psi-mi:"MI:0676"(tandem affinity purification)	Krogan NJ et al.(2006)	intact:EBI-6933337|doi:10.1038/nature04670|mint:MINT-1978243|mint:MINT-5218454|pubmed:16554755|imex:IM-15332	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-7094312|mint:MINT-2048787|imex:IM-15332-74	intact-miscore:0.44
uniprotkb:P38793	uniprotkb:P43601	uniprotkb:D3DL19|intact:EBI-24581|uniprotkb:P38793	uniprotkb:D6VTQ1|intact:EBI-22968|uniprotkb:P43601	psi-mi:trm5_yeast(display_short)|psi-mi:"tRNA (guanine(37)-N(1))-methyltransferase"(display_long)|uniprotkb:YHR070W(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:tRNA methyltransferase 5(gene name synonym)|uniprotkb:TRM5(gene name)	psi-mi:atg18_yeast(display_short)|psi-mi:Autophagy-related protein 18(display_long)|uniprotkb:ATG18(gene name)|uniprotkb:Needed for premeiotic replication protein 1(gene name synonym)|uniprotkb:Swollen vacuole phenotype protein 1(gene name synonym)|uniprotkb:Cytoplasm to vacuole targeting protein 18(gene name synonym)|uniprotkb:SVP1(gene name synonym)|uniprotkb:CVT18(gene name synonym)|uniprotkb:AUT10(gene name synonym)|uniprotkb:YFR021W(locus name)|uniprotkb:NMR1(gene name synonym)	psi-mi:"MI:0676"(tandem affinity purification)	Krogan NJ et al.(2006)	intact:EBI-6933337|doi:10.1038/nature04670|mint:MINT-1978243|mint:MINT-5218454|pubmed:16554755|imex:IM-15332	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-7921356|mint:MINT-2337174|imex:IM-15332-23305	intact-miscore:0.44
uniprotkb:P38793	uniprotkb:P43601	uniprotkb:D3DL19|intact:EBI-24581|uniprotkb:P38793	uniprotkb:D6VTQ1|intact:EBI-22968|uniprotkb:P43601	psi-mi:trm5_yeast(display_short)|psi-mi:"tRNA (guanine(37)-N(1))-methyltransferase"(display_long)|uniprotkb:YHR070W(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:tRNA methyltransferase 5(gene name synonym)|uniprotkb:TRM5(gene name)	psi-mi:atg18_yeast(display_short)|psi-mi:Autophagy-related protein 18(display_long)|uniprotkb:ATG18(gene name)|uniprotkb:Needed for premeiotic replication protein 1(gene name synonym)|uniprotkb:Swollen vacuole phenotype protein 1(gene name synonym)|uniprotkb:Cytoplasm to vacuole targeting protein 18(gene name synonym)|uniprotkb:SVP1(gene name synonym)|uniprotkb:CVT18(gene name synonym)|uniprotkb:AUT10(gene name synonym)|uniprotkb:YFR021W(locus name)|uniprotkb:NMR1(gene name synonym)	psi-mi:"MI:0363"(inferred by author)	Krogan NJ et al.(2006)	intact:EBI-6933337|doi:10.1038/nature04670|mint:MINT-1978243|mint:MINT-5218454|pubmed:16554755|imex:IM-15332	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-8228759|mint:MINT-2787416|imex:IM-15332-24894	intact-miscore:0.44
uniprotkb:P24583	uniprotkb:P38793	uniprotkb:D6VPP8|intact:EBI-9860|uniprotkb:P24583	uniprotkb:D3DL19|intact:EBI-24581|uniprotkb:P38793	psi-mi:kpc1_yeast(display_short)|psi-mi:Protein kinase C-like 1(display_long)|uniprotkb:PKC1(gene name)|uniprotkb:YBL0807(orf name)|uniprotkb:YBL105C(locus name)|uniprotkb:STT1(gene name synonym)|uniprotkb:HPO2(gene name synonym)	psi-mi:trm5_yeast(display_short)|psi-mi:"tRNA (guanine(37)-N(1))-methyltransferase"(display_long)|uniprotkb:YHR070W(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:tRNA methyltransferase 5(gene name synonym)|uniprotkb:TRM5(gene name)	psi-mi:"MI:0676"(tandem affinity purification)	Krogan NJ et al.(2006)	intact:EBI-6933337|doi:10.1038/nature04670|mint:MINT-1978243|mint:MINT-5218454|pubmed:16554755|imex:IM-15332	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-7094328|mint:MINT-2048805|imex:IM-15332-6873	intact-miscore:0.4
uniprotkb:P38793	uniprotkb:P24583	uniprotkb:D3DL19|intact:EBI-24581|uniprotkb:P38793	uniprotkb:D6VPP8|intact:EBI-9860|uniprotkb:P24583	psi-mi:trm5_yeast(display_short)|psi-mi:"tRNA (guanine(37)-N(1))-methyltransferase"(display_long)|uniprotkb:YHR070W(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:tRNA methyltransferase 5(gene name synonym)|uniprotkb:TRM5(gene name)	psi-mi:kpc1_yeast(display_short)|psi-mi:Protein kinase C-like 1(display_long)|uniprotkb:PKC1(gene name)|uniprotkb:YBL0807(orf name)|uniprotkb:YBL105C(locus name)|uniprotkb:STT1(gene name synonym)|uniprotkb:HPO2(gene name synonym)	psi-mi:"MI:0676"(tandem affinity purification)	Krogan NJ et al.(2006)	intact:EBI-6933337|doi:10.1038/nature04670|mint:MINT-1978243|mint:MINT-5218454|pubmed:16554755|imex:IM-15332	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-7094446|mint:MINT-2048841|imex:IM-15332-1309	intact-miscore:0.4
intact:EBI-16769503	uniprotkb:Q32P41	-	uniprotkb:B2RN19|uniprotkb:Q9P2F4|ensembl:ENSP00000261249.6|intact:EBI-16769505|uniprotkb:Q32P41	psi-mi:aox(display_short)|IntAct:AOX(author assigned name)	psi-mi:trm5_human(display_short)|psi-mi:"tRNA (guanine(37)-N(1))-methyltransferase"(display_long)|uniprotkb:KIAA1393(gene name synonym)|uniprotkb:TRM5(gene name synonym)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:tRNA methyltransferase 5 homolog(gene name synonym)|uniprotkb:TRMT5(gene name)|IntAct:TRMT5(author assigned name)	psi-mi:"MI:1314"(proximity-dependent biotin identification)	Liu X. et al.(2018)	intact:EBI-16764398|pubmed:29568061|imex:IM-26301	taxid:7719(cioin)|taxid:7719(Ciona intestinalis)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:2364"(proximity)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-16787299|imex:IM-26301-143	intact-miscore:0.27
uniprotkb:Q9BVS5	uniprotkb:Q32P41	uniprotkb:Q9H0Q9|uniprotkb:Q9NWS7|ensembl:ENSP00000302801.5|intact:EBI-3197877|uniprotkb:Q9BVS5	uniprotkb:B2RN19|uniprotkb:Q9P2F4|ensembl:ENSP00000261249.6|intact:EBI-16769505|uniprotkb:Q32P41	psi-mi:tr61b_human(display_short)|psi-mi:"tRNA (adenine(58)-N(1))-methyltransferase, mitochondrial"(display_long)|uniprotkb:"mRNA methyladenosine-N(1)-methyltransferase"(gene name synonym)|uniprotkb:TRMT61B(gene name)|IntAct:TR61B(author assigned name)	psi-mi:trm5_human(display_short)|psi-mi:"tRNA (guanine(37)-N(1))-methyltransferase"(display_long)|uniprotkb:KIAA1393(gene name synonym)|uniprotkb:TRM5(gene name synonym)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:tRNA methyltransferase 5 homolog(gene name synonym)|uniprotkb:TRMT5(gene name)|IntAct:TRMT5(author assigned name)	psi-mi:"MI:1314"(proximity-dependent biotin identification)	Liu X. et al.(2018)	intact:EBI-16764398|pubmed:29568061|imex:IM-26301	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:2364"(proximity)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-16802257|imex:IM-26301-39	intact-miscore:0.27
uniprotkb:O95231	uniprotkb:Q32P41	uniprotkb:Q32MZ3|ensembl:ENSP00000357556.5|intact:EBI-10191303|uniprotkb:O95231	uniprotkb:B2RN19|uniprotkb:Q9P2F4|ensembl:ENSP00000261249.6|intact:EBI-16769505|uniprotkb:Q32P41	psi-mi:ventx_human(display_short)|psi-mi:Homeobox protein VENTX(display_long)|uniprotkb:HPX42B(gene name synonym)|uniprotkb:VENT homeobox homolog(gene name synonym)|uniprotkb:VENT-like homeobox protein 2(gene name synonym)|uniprotkb:VENTX2(gene name synonym)|uniprotkb:VENTX(gene name)	psi-mi:trm5_human(display_short)|psi-mi:"tRNA (guanine(37)-N(1))-methyltransferase"(display_long)|uniprotkb:KIAA1393(gene name synonym)|uniprotkb:TRM5(gene name synonym)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:tRNA methyltransferase 5 homolog(gene name synonym)|uniprotkb:TRMT5(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Schaffer et al.(2025)	intact:EBI-61099167|pubmed:40205054|imex:IM-30183	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-61244405|imex:IM-30183-3969	intact-miscore:0.35
uniprotkb:O14880	uniprotkb:Q32P41	uniprotkb:Q6ICN4|uniprotkb:B2R592|ensembl:ENSP00000356859.1|ensembl:ENSP00000356864.3|intact:EBI-724754|uniprotkb:O14880	uniprotkb:B2RN19|uniprotkb:Q9P2F4|ensembl:ENSP00000261249.6|intact:EBI-16769505|uniprotkb:Q32P41	psi-mi:mgst3_human(display_short)|psi-mi:Glutathione S-transferase 3, mitochondrial(display_long)|uniprotkb:MGST3(gene name)|uniprotkb:LTC4 synthase MGST3(gene name synonym)|uniprotkb:Glutathione peroxidase MGST3(gene name synonym)|IntAct:MRM1(author assigned name)	psi-mi:trm5_human(display_short)|psi-mi:"tRNA (guanine(37)-N(1))-methyltransferase"(display_long)|uniprotkb:KIAA1393(gene name synonym)|uniprotkb:TRM5(gene name synonym)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:tRNA methyltransferase 5 homolog(gene name synonym)|uniprotkb:TRMT5(gene name)|IntAct:TRMT5(author assigned name)	psi-mi:"MI:1314"(proximity-dependent biotin identification)	Liu X. et al.(2018)	intact:EBI-16764398|pubmed:29568061|imex:IM-26301	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:2364"(proximity)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-16796475|imex:IM-26301-131	intact-miscore:0.27
uniprotkb:Q15118	uniprotkb:Q32P41	uniprotkb:B7Z937|uniprotkb:E9PD65|uniprotkb:Q308M4|uniprotkb:B2R6T1|intact:MINT-2881420|uniprotkb:D3DPD8|ensembl:ENSP00000282077.3|ensembl:ENSP00000386985.1|intact:EBI-7016221|uniprotkb:Q15118	uniprotkb:B2RN19|uniprotkb:Q9P2F4|ensembl:ENSP00000261249.6|intact:EBI-16769505|uniprotkb:Q32P41	psi-mi:pdk1_human(display_short)|psi-mi:"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial"(display_long)|uniprotkb:PDK1(gene name)|uniprotkb:Pyruvate dehydrogenase kinase isoform 1(gene name synonym)|uniprotkb:PDHK1(gene name synonym)|IntAct:PDK1(author assigned name)	psi-mi:trm5_human(display_short)|psi-mi:"tRNA (guanine(37)-N(1))-methyltransferase"(display_long)|uniprotkb:KIAA1393(gene name synonym)|uniprotkb:TRM5(gene name synonym)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:tRNA methyltransferase 5 homolog(gene name synonym)|uniprotkb:TRMT5(gene name)|IntAct:TRMT5(author assigned name)	psi-mi:"MI:1314"(proximity-dependent biotin identification)	Liu X. et al.(2018)	intact:EBI-16764398|pubmed:29568061|imex:IM-26301	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:2364"(proximity)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-16796954|imex:IM-26301-31	intact-miscore:0.27
uniprotkb:Q6P587	uniprotkb:Q32P41	uniprotkb:Q6FIC7|uniprotkb:Q96RY1|uniprotkb:Q9H0N6|uniprotkb:B1AK41|uniprotkb:B1AK40|ensembl:ENSP00000398053.3|intact:EBI-597013|uniprotkb:Q6P587	uniprotkb:B2RN19|uniprotkb:Q9P2F4|ensembl:ENSP00000261249.6|intact:EBI-16769505|uniprotkb:Q32P41	psi-mi:fahd1_human(display_short)|psi-mi:Oxaloacetate tautomerase FAHD1, mitochondrial(display_long)|uniprotkb:C16orf36(gene name synonym)|uniprotkb:Fumarylacetoacetate hydrolase domain-containing protein 1(gene name synonym)|uniprotkb:YISKL(gene name synonym)|uniprotkb:YisK-like protein(gene name synonym)|uniprotkb:Acylpyruvase FAHD1(gene name synonym)|uniprotkb:Oxaloacetate decarboxylase(gene name synonym)|uniprotkb:FAHD1(gene name)	psi-mi:trm5_human(display_short)|psi-mi:"tRNA (guanine(37)-N(1))-methyltransferase"(display_long)|uniprotkb:KIAA1393(gene name synonym)|uniprotkb:TRM5(gene name synonym)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:tRNA methyltransferase 5 homolog(gene name synonym)|uniprotkb:TRMT5(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Huttlin EL. et al.(2021)	intact:EBI-27103963|doi:10.1016/j.cell.2021.04.011|pubmed:33961781|imex:IM-29278	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-54827974|imex:IM-29278-18335	intact-miscore:0.35
uniprotkb:Q13228	uniprotkb:Q32P41	uniprotkb:A6NML9|uniprotkb:A6PVW9|uniprotkb:B2RDR3|uniprotkb:Q96GX7|uniprotkb:B4DKP6|uniprotkb:Q49AQ8|uniprotkb:B4E1F3|ensembl:ENSP00000357861.5|intact:EBI-711619|uniprotkb:Q13228	uniprotkb:B2RN19|uniprotkb:Q9P2F4|ensembl:ENSP00000261249.6|intact:EBI-16769505|uniprotkb:Q32P41	psi-mi:sbp1_human(display_short)|psi-mi:Methanethiol oxidase(display_long)|uniprotkb:SELENBP1(gene name)|uniprotkb:Selenium-binding protein 1(gene name synonym)|uniprotkb:56 kDa selenium-binding protein(gene name synonym)|uniprotkb:SBP(gene name synonym)	psi-mi:trm5_human(display_short)|psi-mi:"tRNA (guanine(37)-N(1))-methyltransferase"(display_long)|uniprotkb:KIAA1393(gene name synonym)|uniprotkb:TRM5(gene name synonym)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:tRNA methyltransferase 5 homolog(gene name synonym)|uniprotkb:TRMT5(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Huttlin EL. et al.(2021)	intact:EBI-27103963|doi:10.1016/j.cell.2021.04.011|pubmed:33961781|imex:IM-29278	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-54757068|imex:IM-29278-11981	intact-miscore:0.35
uniprotkb:Q13228	uniprotkb:Q32P41	uniprotkb:A6NML9|uniprotkb:A6PVW9|uniprotkb:B2RDR3|uniprotkb:Q96GX7|uniprotkb:B4DKP6|uniprotkb:Q49AQ8|uniprotkb:B4E1F3|ensembl:ENSP00000357861.5|intact:EBI-711619|uniprotkb:Q13228	uniprotkb:B2RN19|uniprotkb:Q9P2F4|ensembl:ENSP00000261249.6|intact:EBI-16769505|uniprotkb:Q32P41	psi-mi:sbp1_human(display_short)|psi-mi:Methanethiol oxidase(display_long)|uniprotkb:SELENBP1(gene name)|uniprotkb:Selenium-binding protein 1(gene name synonym)|uniprotkb:56 kDa selenium-binding protein(gene name synonym)|uniprotkb:SBP(gene name synonym)	psi-mi:trm5_human(display_short)|psi-mi:"tRNA (guanine(37)-N(1))-methyltransferase"(display_long)|uniprotkb:KIAA1393(gene name synonym)|uniprotkb:TRM5(gene name synonym)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:tRNA methyltransferase 5 homolog(gene name synonym)|uniprotkb:TRMT5(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Huttlin EL. et al.(2021)	intact:EBI-27103963|doi:10.1016/j.cell.2021.04.011|pubmed:33961781|imex:IM-29278	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-55018127|imex:IM-29278-28985	intact-miscore:0.35
uniprotkb:Q32P41	uniprotkb:P57721	uniprotkb:B2RN19|uniprotkb:Q9P2F4|ensembl:ENSP00000261249.6|intact:EBI-16769505|uniprotkb:Q32P41	uniprotkb:Q8N9K6|uniprotkb:Q96EP6|uniprotkb:A8MPS2|uniprotkb:A8MQ26|uniprotkb:B7WNN9|uniprotkb:B7WPC1|intact:EBI-2555264|ensembl:ENSP00000383168.1|ensembl:ENSP00000505796.1|intact:EBI-954627|uniprotkb:P57721	psi-mi:trm5_human(display_short)|psi-mi:"tRNA (guanine(37)-N(1))-methyltransferase"(display_long)|uniprotkb:KIAA1393(gene name synonym)|uniprotkb:TRM5(gene name synonym)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:tRNA methyltransferase 5 homolog(gene name synonym)|uniprotkb:TRMT5(gene name)	psi-mi:pcbp3_human(display_short)|psi-mi:"Poly(rC)-binding protein 3"(display_long)|uniprotkb:PCBP3(gene name)|uniprotkb:PCBP3-OT1(gene name synonym)|uniprotkb:Alpha-CP3(gene name synonym)|uniprotkb:PCBP3OT(gene name synonym)|uniprotkb:PCBP3-overlapping transcript 1(gene name synonym)|uniprotkb:PCBP3-overlapping transcript(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Huttlin EL. et al.(2021)	intact:EBI-27103963|doi:10.1016/j.cell.2021.04.011|pubmed:33961781|imex:IM-29278	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-54777690|imex:IM-29278-14217	intact-miscore:0.4
uniprotkb:P05455	uniprotkb:Q32P41	uniprotkb:Q15367|uniprotkb:Q53XJ4|ensembl:ENSP00000260956.4|ensembl:ENSP00000386636.1|intact:EBI-358037|uniprotkb:P05455	uniprotkb:B2RN19|uniprotkb:Q9P2F4|ensembl:ENSP00000261249.6|intact:EBI-16769505|uniprotkb:Q32P41	psi-mi:la_human(display_short)|psi-mi:Lupus La protein(display_long)|uniprotkb:ssb(gene name)|uniprotkb:La autoantigen(gene name synonym)|uniprotkb:La ribonucleoprotein(gene name synonym)|uniprotkb:Sjoegren syndrome type B antigen(gene name synonym)	psi-mi:trm5_human(display_short)|psi-mi:"tRNA (guanine(37)-N(1))-methyltransferase"(display_long)|uniprotkb:KIAA1393(gene name synonym)|uniprotkb:TRM5(gene name synonym)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:tRNA methyltransferase 5 homolog(gene name synonym)|uniprotkb:TRMT5(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Cho NH. et al.(2022)	intact:EBI-52315730|pubmed:35271311|imex:IM-30001	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-52353683|imex:IM-30001-2125	intact-miscore:0.35
uniprotkb:Q13405	uniprotkb:Q32P41	uniprotkb:B2R4G6|ensembl:ENSP00000279242.2|ensembl:ENSP00000434190.1|intact:EBI-5325200|uniprotkb:Q13405	uniprotkb:B2RN19|uniprotkb:Q9P2F4|ensembl:ENSP00000261249.6|intact:EBI-16769505|uniprotkb:Q32P41	psi-mi:rm49_human(display_short)|psi-mi:Large ribosomal subunit protein mL49(display_long)|uniprotkb:MRPL49(gene name)|uniprotkb:39S ribosomal protein L49, mitochondrial(gene name synonym)|uniprotkb:OK/SW-cl.67(orf name)|uniprotkb:Protein NOF1(gene name synonym)|uniprotkb:Neighbor of FAU(gene name synonym)|uniprotkb:NOF1(gene name synonym)|uniprotkb:C11orf4(gene name synonym)	psi-mi:trm5_human(display_short)|psi-mi:"tRNA (guanine(37)-N(1))-methyltransferase"(display_long)|uniprotkb:KIAA1393(gene name synonym)|uniprotkb:TRM5(gene name synonym)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:tRNA methyltransferase 5 homolog(gene name synonym)|uniprotkb:TRMT5(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Schaffer et al.(2025)	intact:EBI-61099167|pubmed:40205054|imex:IM-30183	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-61215298|imex:IM-30183-2161	intact-miscore:0.35
