# ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:Q06287	uniprotkb:Q04217	uniprotkb:E9P8U2|uniprotkb:D6VYI9|intact:EBI-11979|uniprotkb:Q06287	uniprotkb:D6VZV1|intact:EBI-1820|uniprotkb:Q04217	psi-mi:nep1_yeast(display_short)|psi-mi:Ribosomal RNA small subunit methyltransferase NEP1(display_long)|uniprotkb:EMG1(gene name)|uniprotkb:Essential for mitotic growth protein 1(gene name synonym)|uniprotkb:"18S rRNA (pseudouridine(1189)-N1)-methyltransferase"(gene name synonym)|uniprotkb:Nucleolar essential protein 1(gene name synonym)|uniprotkb:L9470.5(orf name)|uniprotkb:YLR186W(locus name)|uniprotkb:NEP1(gene name synonym)	psi-mi:dhr1_yeast(display_short)|psi-mi:Probable ATP-dependent RNA helicase DHR1(display_long)|uniprotkb:DHR1(gene name synonym)|uniprotkb:YMR128W(locus name)|uniprotkb:YM9553.04(orf name)|uniprotkb:DEAH box RNA helicase DHR1(gene name synonym)|uniprotkb:Extracellular mutant protein 16(gene name synonym)|uniprotkb:ECM16(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Michaelis AC. et al.(2023)	intact:EBI-52311758|pubmed:37968396|imex:IM-29986	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-52386325|imex:IM-29986-529	intact-miscore:0.35
uniprotkb:Q06287	uniprotkb:P34247	uniprotkb:E9P8U2|uniprotkb:D6VYI9|intact:EBI-11979|uniprotkb:Q06287	uniprotkb:D6VXI8|intact:EBI-20162|uniprotkb:P34247	psi-mi:nep1_yeast(display_short)|psi-mi:Ribosomal RNA small subunit methyltransferase NEP1(display_long)|uniprotkb:EMG1(gene name)|uniprotkb:Essential for mitotic growth protein 1(gene name synonym)|uniprotkb:"18S rRNA (pseudouridine(1189)-N1)-methyltransferase"(gene name synonym)|uniprotkb:Nucleolar essential protein 1(gene name synonym)|uniprotkb:L9470.5(orf name)|uniprotkb:YLR186W(locus name)|uniprotkb:NEP1(gene name synonym)	psi-mi:utp11_yeast(display_short)|psi-mi:U3 small nucleolar RNA-associated protein 11(display_long)|uniprotkb:YKL099C(locus name)|uniprotkb:YKL449(orf name)|uniprotkb:U three protein 11(gene name synonym)|uniprotkb:UTP11(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Michaelis AC. et al.(2023)	intact:EBI-52311758|pubmed:37968396|imex:IM-29986	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-52386325|imex:IM-29986-529	intact-miscore:0.35
uniprotkb:Q06287	uniprotkb:Q05946	uniprotkb:E9P8U2|uniprotkb:D6VYI9|intact:EBI-11979|uniprotkb:Q06287	uniprotkb:D6VYM2|intact:EBI-34702|uniprotkb:Q05946	psi-mi:nep1_yeast(display_short)|psi-mi:Ribosomal RNA small subunit methyltransferase NEP1(display_long)|uniprotkb:EMG1(gene name)|uniprotkb:Essential for mitotic growth protein 1(gene name synonym)|uniprotkb:"18S rRNA (pseudouridine(1189)-N1)-methyltransferase"(gene name synonym)|uniprotkb:Nucleolar essential protein 1(gene name synonym)|uniprotkb:L9470.5(orf name)|uniprotkb:YLR186W(locus name)|uniprotkb:NEP1(gene name synonym)	psi-mi:utp13_yeast(display_short)|psi-mi:U3 small nucleolar RNA-associated protein 13(display_long)|uniprotkb:UTP13(gene name)|uniprotkb:YLR222C(locus name)|uniprotkb:U three protein 13(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Michaelis AC. et al.(2023)	intact:EBI-52311758|pubmed:37968396|imex:IM-29986	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-52386325|imex:IM-29986-529	intact-miscore:0.35
uniprotkb:Q06287	uniprotkb:P38801	uniprotkb:E9P8U2|uniprotkb:D6VYI9|intact:EBI-11979|uniprotkb:Q06287	uniprotkb:D3DL32|intact:EBI-1909|uniprotkb:P38801	psi-mi:nep1_yeast(display_short)|psi-mi:Ribosomal RNA small subunit methyltransferase NEP1(display_long)|uniprotkb:EMG1(gene name)|uniprotkb:Essential for mitotic growth protein 1(gene name synonym)|uniprotkb:"18S rRNA (pseudouridine(1189)-N1)-methyltransferase"(gene name synonym)|uniprotkb:Nucleolar essential protein 1(gene name synonym)|uniprotkb:L9470.5(orf name)|uniprotkb:YLR186W(locus name)|uniprotkb:NEP1(gene name synonym)	psi-mi:lrp1_yeast(display_short)|psi-mi:Exosome complex protein LRP1(display_long)|uniprotkb:Like an rRNA processing protein 1(gene name synonym)|uniprotkb:rRNA processing protein 47(gene name synonym)|uniprotkb:RRP47(gene name synonym)|uniprotkb:YC1D(gene name synonym)|uniprotkb:Yeast C1D domain-containing protein(gene name synonym)|uniprotkb:YHR081W(locus name)|uniprotkb:LRP1(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Michaelis AC. et al.(2023)	intact:EBI-52311758|pubmed:37968396|imex:IM-29986	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-52386325|imex:IM-29986-529	intact-miscore:0.35
uniprotkb:Q06287	uniprotkb:P32899	uniprotkb:E9P8U2|uniprotkb:D6VYI9|intact:EBI-11979|uniprotkb:Q06287	uniprotkb:D3DL97|intact:EBI-9237|uniprotkb:P32899	psi-mi:nep1_yeast(display_short)|psi-mi:Ribosomal RNA small subunit methyltransferase NEP1(display_long)|uniprotkb:EMG1(gene name)|uniprotkb:Essential for mitotic growth protein 1(gene name synonym)|uniprotkb:"18S rRNA (pseudouridine(1189)-N1)-methyltransferase"(gene name synonym)|uniprotkb:Nucleolar essential protein 1(gene name synonym)|uniprotkb:L9470.5(orf name)|uniprotkb:YLR186W(locus name)|uniprotkb:NEP1(gene name synonym)	psi-mi:imp3_yeast(display_short)|psi-mi:U3 small nucleolar ribonucleoprotein protein IMP3(display_long)|uniprotkb:IMP3(gene name)|uniprotkb:YHR148W(locus name)|uniprotkb:Interacting with MPP10 protein 3(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Michaelis AC. et al.(2023)	intact:EBI-52311758|pubmed:37968396|imex:IM-29986	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-52386325|imex:IM-29986-529	intact-miscore:0.35
uniprotkb:Q06287	uniprotkb:P40055	uniprotkb:E9P8U2|uniprotkb:D6VYI9|intact:EBI-11979|uniprotkb:Q06287	uniprotkb:D3DLY9|intact:EBI-22597|uniprotkb:P40055	psi-mi:nep1_yeast(display_short)|psi-mi:Ribosomal RNA small subunit methyltransferase NEP1(display_long)|uniprotkb:EMG1(gene name)|uniprotkb:Essential for mitotic growth protein 1(gene name synonym)|uniprotkb:"18S rRNA (pseudouridine(1189)-N1)-methyltransferase"(gene name synonym)|uniprotkb:Nucleolar essential protein 1(gene name synonym)|uniprotkb:L9470.5(orf name)|uniprotkb:YLR186W(locus name)|uniprotkb:NEP1(gene name synonym)	psi-mi:utp7_yeast(display_short)|psi-mi:U3 small nucleolar RNA-associated protein 7(display_long)|uniprotkb:UTP7(gene name)|uniprotkb:YER082C(locus name)|uniprotkb:U three protein 7(gene name synonym)|uniprotkb:KRE31(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Michaelis AC. et al.(2023)	intact:EBI-52311758|pubmed:37968396|imex:IM-29986	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-52386325|imex:IM-29986-529	intact-miscore:0.35
uniprotkb:Q06287	uniprotkb:Q05498	uniprotkb:E9P8U2|uniprotkb:D6VYI9|intact:EBI-11979|uniprotkb:Q06287	uniprotkb:D6VSX1|intact:EBI-30765|uniprotkb:Q05498	psi-mi:nep1_yeast(display_short)|psi-mi:Ribosomal RNA small subunit methyltransferase NEP1(display_long)|uniprotkb:EMG1(gene name)|uniprotkb:Essential for mitotic growth protein 1(gene name synonym)|uniprotkb:"18S rRNA (pseudouridine(1189)-N1)-methyltransferase"(gene name synonym)|uniprotkb:Nucleolar essential protein 1(gene name synonym)|uniprotkb:L9470.5(orf name)|uniprotkb:YLR186W(locus name)|uniprotkb:NEP1(gene name synonym)	psi-mi:fcf1_yeast(display_short)|psi-mi:rRNA-processing protein FCF1(display_long)|uniprotkb:FCF1(gene name)|uniprotkb:YDR339C(locus name)|uniprotkb:D9651.9(orf name)|uniprotkb:FAF1-copurifying factor 1(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Michaelis AC. et al.(2023)	intact:EBI-52311758|pubmed:37968396|imex:IM-29986	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-52386325|imex:IM-29986-529	intact-miscore:0.35
uniprotkb:Q05636	uniprotkb:Q06287	uniprotkb:D6VSR0|intact:EBI-1810|uniprotkb:Q05636	uniprotkb:E9P8U2|uniprotkb:D6VYI9|intact:EBI-11979|uniprotkb:Q06287	psi-mi:rrp45_yeast(display_short)|psi-mi:Exosome complex component RRP45(display_long)|uniprotkb:RRP45(gene name)|uniprotkb:Ribosomal RNA-processing protein 45(gene name synonym)|uniprotkb:D9954.1(orf name)|uniprotkb:YDR280W(locus name)	psi-mi:nep1_yeast(display_short)|psi-mi:Ribosomal RNA small subunit methyltransferase NEP1(display_long)|uniprotkb:EMG1(gene name)|uniprotkb:Essential for mitotic growth protein 1(gene name synonym)|uniprotkb:"18S rRNA (pseudouridine(1189)-N1)-methyltransferase"(gene name synonym)|uniprotkb:Nucleolar essential protein 1(gene name synonym)|uniprotkb:L9470.5(orf name)|uniprotkb:YLR186W(locus name)|uniprotkb:NEP1(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Michaelis AC. et al.(2023)	intact:EBI-52311758|pubmed:37968396|imex:IM-29986	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-52385141|imex:IM-29986-503	intact-miscore:0.35
uniprotkb:Q12277	uniprotkb:Q06287	uniprotkb:D6VRN9|intact:EBI-1765|uniprotkb:Q12277	uniprotkb:E9P8U2|uniprotkb:D6VYI9|intact:EBI-11979|uniprotkb:Q06287	psi-mi:rrp42_yeast(display_short)|psi-mi:Exosome complex component RRP42(display_long)|uniprotkb:RRP42(gene name)|uniprotkb:YDL111C(locus name)|uniprotkb:Ribosomal RNA-processing protein 42(gene name synonym)	psi-mi:nep1_yeast(display_short)|psi-mi:Ribosomal RNA small subunit methyltransferase NEP1(display_long)|uniprotkb:EMG1(gene name)|uniprotkb:Essential for mitotic growth protein 1(gene name synonym)|uniprotkb:"18S rRNA (pseudouridine(1189)-N1)-methyltransferase"(gene name synonym)|uniprotkb:Nucleolar essential protein 1(gene name synonym)|uniprotkb:L9470.5(orf name)|uniprotkb:YLR186W(locus name)|uniprotkb:NEP1(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Michaelis AC. et al.(2023)	intact:EBI-52311758|pubmed:37968396|imex:IM-29986	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-52385377|imex:IM-29986-513	intact-miscore:0.35
uniprotkb:P25586	uniprotkb:Q06287	uniprotkb:D6VQV7|intact:EBI-21773|uniprotkb:P25586	uniprotkb:E9P8U2|uniprotkb:D6VYI9|intact:EBI-11979|uniprotkb:Q06287	psi-mi:krr1_yeast(display_short)|psi-mi:KRR1 small subunit processome component(display_long)|uniprotkb:KRR-R motif-containing protein 1(gene name synonym)|uniprotkb:Ribosomal RNA assembly protein KRR1(gene name synonym)|uniprotkb:YCL59C(orf name)|uniprotkb:YCL059C(locus name)|uniprotkb:KRR1(gene name)	psi-mi:nep1_yeast(display_short)|psi-mi:Ribosomal RNA small subunit methyltransferase NEP1(display_long)|uniprotkb:EMG1(gene name)|uniprotkb:Essential for mitotic growth protein 1(gene name synonym)|uniprotkb:"18S rRNA (pseudouridine(1189)-N1)-methyltransferase"(gene name synonym)|uniprotkb:Nucleolar essential protein 1(gene name synonym)|uniprotkb:L9470.5(orf name)|uniprotkb:YLR186W(locus name)|uniprotkb:NEP1(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Michaelis AC. et al.(2023)	intact:EBI-52311758|pubmed:37968396|imex:IM-29986	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-52385847|imex:IM-29986-515	intact-miscore:0.64
uniprotkb:P38333	uniprotkb:Q06287	uniprotkb:D6VQP3|intact:EBI-6482|uniprotkb:P38333	uniprotkb:E9P8U2|uniprotkb:D6VYI9|intact:EBI-11979|uniprotkb:Q06287	psi-mi:enp1_yeast(display_short)|psi-mi:Essential nuclear protein 1(display_long)|uniprotkb:ENP1(gene name)|uniprotkb:YBR1635(orf name)|uniprotkb:YBR247C(locus name)|uniprotkb:MEG1(gene name synonym)	psi-mi:nep1_yeast(display_short)|psi-mi:Ribosomal RNA small subunit methyltransferase NEP1(display_long)|uniprotkb:EMG1(gene name)|uniprotkb:Essential for mitotic growth protein 1(gene name synonym)|uniprotkb:"18S rRNA (pseudouridine(1189)-N1)-methyltransferase"(gene name synonym)|uniprotkb:Nucleolar essential protein 1(gene name synonym)|uniprotkb:L9470.5(orf name)|uniprotkb:YLR186W(locus name)|uniprotkb:NEP1(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Michaelis AC. et al.(2023)	intact:EBI-52311758|pubmed:37968396|imex:IM-29986	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-52386039|imex:IM-29986-519	intact-miscore:0.64
uniprotkb:P48240	uniprotkb:Q06287	uniprotkb:D6VUT8|intact:EBI-1749|uniprotkb:P48240	uniprotkb:E9P8U2|uniprotkb:D6VYI9|intact:EBI-11979|uniprotkb:Q06287	psi-mi:mtr3_yeast(display_short)|psi-mi:Exosome complex component MTR3(display_long)|uniprotkb:MTR3(gene name)|uniprotkb:mRNA transport regulator 3(gene name synonym)|uniprotkb:G6676(orf name)|uniprotkb:YGR158C(locus name)	psi-mi:nep1_yeast(display_short)|psi-mi:Ribosomal RNA small subunit methyltransferase NEP1(display_long)|uniprotkb:EMG1(gene name)|uniprotkb:Essential for mitotic growth protein 1(gene name synonym)|uniprotkb:"18S rRNA (pseudouridine(1189)-N1)-methyltransferase"(gene name synonym)|uniprotkb:Nucleolar essential protein 1(gene name synonym)|uniprotkb:L9470.5(orf name)|uniprotkb:YLR186W(locus name)|uniprotkb:NEP1(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Michaelis AC. et al.(2023)	intact:EBI-52311758|pubmed:37968396|imex:IM-29986	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-52384490|imex:IM-29986-475	intact-miscore:0.35
uniprotkb:P53276	uniprotkb:Q06287	uniprotkb:D6VUR0|intact:EBI-23301|uniprotkb:P53276	uniprotkb:E9P8U2|uniprotkb:D6VYI9|intact:EBI-11979|uniprotkb:Q06287	psi-mi:utp8_yeast(display_short)|psi-mi:U3 small nucleolar RNA-associated protein 8(display_long)|uniprotkb:t-UTP8(gene name synonym)|uniprotkb:U three protein 8(gene name synonym)|uniprotkb:U3 protein 8 required for transcription(gene name synonym)|uniprotkb:YGR128C(locus name)|uniprotkb:UTP8(gene name)	psi-mi:nep1_yeast(display_short)|psi-mi:Ribosomal RNA small subunit methyltransferase NEP1(display_long)|uniprotkb:EMG1(gene name)|uniprotkb:Essential for mitotic growth protein 1(gene name synonym)|uniprotkb:"18S rRNA (pseudouridine(1189)-N1)-methyltransferase"(gene name synonym)|uniprotkb:Nucleolar essential protein 1(gene name synonym)|uniprotkb:L9470.5(orf name)|uniprotkb:YLR186W(locus name)|uniprotkb:NEP1(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Michaelis AC. et al.(2023)	intact:EBI-52311758|pubmed:37968396|imex:IM-29986	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-52384582|imex:IM-29986-479	intact-miscore:0.35
uniprotkb:P53254	uniprotkb:Q06287	uniprotkb:D6VUM2|intact:EBI-1878|uniprotkb:P53254	uniprotkb:E9P8U2|uniprotkb:D6VYI9|intact:EBI-11979|uniprotkb:Q06287	psi-mi:utp22_yeast(display_short)|psi-mi:U3 small nucleolar RNA-associated protein 22(display_long)|uniprotkb:UTP22(gene name)|uniprotkb:YGR090W(locus name)|uniprotkb:U three protein 22(gene name synonym)	psi-mi:nep1_yeast(display_short)|psi-mi:Ribosomal RNA small subunit methyltransferase NEP1(display_long)|uniprotkb:EMG1(gene name)|uniprotkb:Essential for mitotic growth protein 1(gene name synonym)|uniprotkb:"18S rRNA (pseudouridine(1189)-N1)-methyltransferase"(gene name synonym)|uniprotkb:Nucleolar essential protein 1(gene name synonym)|uniprotkb:L9470.5(orf name)|uniprotkb:YLR186W(locus name)|uniprotkb:NEP1(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Michaelis AC. et al.(2023)	intact:EBI-52311758|pubmed:37968396|imex:IM-29986	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-52384663|imex:IM-29986-483	intact-miscore:0.64
uniprotkb:P53256	uniprotkb:Q06287	uniprotkb:Q6TQU1|uniprotkb:D6VUM7|intact:EBI-1842|uniprotkb:P53256	uniprotkb:E9P8U2|uniprotkb:D6VYI9|intact:EBI-11979|uniprotkb:Q06287	psi-mi:rrp46_yeast(display_short)|psi-mi:Exosome complex component RRP46(display_long)|uniprotkb:RRP46(gene name)|uniprotkb:YGR095C(locus name)|uniprotkb:Ribosomal RNA-processing protein 46(gene name synonym)	psi-mi:nep1_yeast(display_short)|psi-mi:Ribosomal RNA small subunit methyltransferase NEP1(display_long)|uniprotkb:EMG1(gene name)|uniprotkb:Essential for mitotic growth protein 1(gene name synonym)|uniprotkb:"18S rRNA (pseudouridine(1189)-N1)-methyltransferase"(gene name synonym)|uniprotkb:Nucleolar essential protein 1(gene name synonym)|uniprotkb:L9470.5(orf name)|uniprotkb:YLR186W(locus name)|uniprotkb:NEP1(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Michaelis AC. et al.(2023)	intact:EBI-52311758|pubmed:37968396|imex:IM-29986	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-52384734|imex:IM-29986-485	intact-miscore:0.35
uniprotkb:Q03280	uniprotkb:Q06287	uniprotkb:Q7LIK7|uniprotkb:D6VT81|intact:EBI-36817|uniprotkb:Q03280	uniprotkb:E9P8U2|uniprotkb:D6VYI9|intact:EBI-11979|uniprotkb:Q06287	psi-mi:tom1_yeast(display_short)|psi-mi:E3 ubiquitin-protein ligase TOM1(display_long)|uniprotkb:SSR2(gene name synonym)|uniprotkb:YDR457W(locus name)|uniprotkb:Temperature-dependent organization in mitotic nucleus protein 1(gene name synonym)|uniprotkb:Suppressor of snRNA protein 2(gene name synonym)|uniprotkb:D8035.1(orf name)|uniprotkb:HECT-type E3 ubiquitin transferase TOM1(gene name synonym)|uniprotkb:TOM1(gene name)	psi-mi:nep1_yeast(display_short)|psi-mi:Ribosomal RNA small subunit methyltransferase NEP1(display_long)|uniprotkb:EMG1(gene name)|uniprotkb:Essential for mitotic growth protein 1(gene name synonym)|uniprotkb:"18S rRNA (pseudouridine(1189)-N1)-methyltransferase"(gene name synonym)|uniprotkb:Nucleolar essential protein 1(gene name synonym)|uniprotkb:L9470.5(orf name)|uniprotkb:YLR186W(locus name)|uniprotkb:NEP1(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Michaelis AC. et al.(2023)	intact:EBI-52311758|pubmed:37968396|imex:IM-29986	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-52384839|imex:IM-29986-491	intact-miscore:0.35
uniprotkb:Q04177	uniprotkb:Q06287	uniprotkb:D6VT31|intact:EBI-35844|uniprotkb:Q04177	uniprotkb:E9P8U2|uniprotkb:D6VYI9|intact:EBI-11979|uniprotkb:Q06287	psi-mi:utp5_yeast(display_short)|psi-mi:U3 small nucleolar RNA-associated protein 5(display_long)|uniprotkb:UTP5(gene name)|uniprotkb:t-UTP5(gene name synonym)|uniprotkb:YDR398W(locus name)|uniprotkb:D9509.17(orf name)|uniprotkb:U three protein 5(gene name synonym)|uniprotkb:U3 protein 5 required for transcription(gene name synonym)	psi-mi:nep1_yeast(display_short)|psi-mi:Ribosomal RNA small subunit methyltransferase NEP1(display_long)|uniprotkb:EMG1(gene name)|uniprotkb:Essential for mitotic growth protein 1(gene name synonym)|uniprotkb:"18S rRNA (pseudouridine(1189)-N1)-methyltransferase"(gene name synonym)|uniprotkb:Nucleolar essential protein 1(gene name synonym)|uniprotkb:L9470.5(orf name)|uniprotkb:YLR186W(locus name)|uniprotkb:NEP1(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Michaelis AC. et al.(2023)	intact:EBI-52311758|pubmed:37968396|imex:IM-29986	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-52384880|imex:IM-29986-495	intact-miscore:0.35
uniprotkb:Q02354	uniprotkb:Q06287	uniprotkb:Q04115|uniprotkb:D6VT74|intact:EBI-22119|uniprotkb:Q02354	uniprotkb:E9P8U2|uniprotkb:D6VYI9|intact:EBI-11979|uniprotkb:Q06287	psi-mi:utp6_yeast(display_short)|psi-mi:U3 small nucleolar RNA-associated protein 6(display_long)|uniprotkb:UTP6(gene name)|uniprotkb:D9461.34(orf name)|uniprotkb:YDR449C(locus name)|uniprotkb:U three protein 6(gene name synonym)	psi-mi:nep1_yeast(display_short)|psi-mi:Ribosomal RNA small subunit methyltransferase NEP1(display_long)|uniprotkb:EMG1(gene name)|uniprotkb:Essential for mitotic growth protein 1(gene name synonym)|uniprotkb:"18S rRNA (pseudouridine(1189)-N1)-methyltransferase"(gene name synonym)|uniprotkb:Nucleolar essential protein 1(gene name synonym)|uniprotkb:L9470.5(orf name)|uniprotkb:YLR186W(locus name)|uniprotkb:NEP1(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Michaelis AC. et al.(2023)	intact:EBI-52311758|pubmed:37968396|imex:IM-29986	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-52384959|imex:IM-29986-497	intact-miscore:0.64
uniprotkb:Q06679	uniprotkb:Q06287	uniprotkb:D6VSV7|intact:EBI-35712|uniprotkb:Q06679	uniprotkb:E9P8U2|uniprotkb:D6VYI9|intact:EBI-11979|uniprotkb:Q06287	psi-mi:utp4_yeast(display_short)|psi-mi:U3 small nucleolar RNA-associated protein 4(display_long)|uniprotkb:UTP4(gene name)|uniprotkb:YDR324C(locus name)|uniprotkb:t-UTP4(gene name synonym)|uniprotkb:U three protein 4(gene name synonym)|uniprotkb:U3 protein 4 required for transcription(gene name synonym)	psi-mi:nep1_yeast(display_short)|psi-mi:Ribosomal RNA small subunit methyltransferase NEP1(display_long)|uniprotkb:EMG1(gene name)|uniprotkb:Essential for mitotic growth protein 1(gene name synonym)|uniprotkb:"18S rRNA (pseudouridine(1189)-N1)-methyltransferase"(gene name synonym)|uniprotkb:Nucleolar essential protein 1(gene name synonym)|uniprotkb:L9470.5(orf name)|uniprotkb:YLR186W(locus name)|uniprotkb:NEP1(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Michaelis AC. et al.(2023)	intact:EBI-52311758|pubmed:37968396|imex:IM-29986	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-52385057|imex:IM-29986-499	intact-miscore:0.35
