# ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:Q0PAM1	uniprotkb:Q9PPJ4	intact:EBI-1328038|uniprotkb:Q0PAM1	uniprotkb:Q0PAG6|intact:EBI-1329123|uniprotkb:Q9PPJ4	psi-mi:q0pam1_camje(display_short)|psi-mi:3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC(display_long)|uniprotkb:KDO 8-P phosphatase(gene name synonym)|uniprotkb:Cj0647(locus name)	psi-mi:trmd_camje(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:Cj0713(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:trmD(gene name)	psi-mi:"MI:0397"(two hybrid array)	Parrish JR. et al.(2007)	intact:EBI-1991756|pubmed:17615063	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-1348829	intact-miscore:0.37|author-based confidence:0.17
uniprotkb:Q9PPJ4	uniprotkb:Q0PC22	uniprotkb:Q0PAG6|intact:EBI-1329123|uniprotkb:Q9PPJ4	intact:EBI-1328239|uniprotkb:Q0PC22	psi-mi:trmd_camje(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:Cj0713(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:trmD(gene name)	psi-mi:q0pc22_camje(display_short)|psi-mi:Peptidyl-prolyl cis-trans isomerase(display_long)|uniprotkb:Cj0115(locus name)|uniprotkb:slyD(gene name)	psi-mi:"MI:0397"(two hybrid array)	Parrish JR. et al.(2007)	intact:EBI-1991756|pubmed:17615063	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-1349960	intact-miscore:0.37|author-based confidence:1.00
uniprotkb:Q9PPJ4	uniprotkb:Q0P9E6	uniprotkb:Q0PAG6|intact:EBI-1329123|uniprotkb:Q9PPJ4	intact:EBI-1193873|uniprotkb:Q0P9E6	psi-mi:trmd_camje(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:Cj0713(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:trmD(gene name)	psi-mi:q0p9e6_camje(display_short)|psi-mi:Chaperone protein ClpB(display_long)|uniprotkb:Cj1108(locus name)|uniprotkb:clpA(gene name)	psi-mi:"MI:0397"(two hybrid array)	Parrish JR. et al.(2007)	intact:EBI-1991756|pubmed:17615063	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-1336958	intact-miscore:0.37|author-based confidence:0.98
uniprotkb:Q9PPJ4	uniprotkb:Q0P8E6	uniprotkb:Q0PAG6|intact:EBI-1329123|uniprotkb:Q9PPJ4	intact:EBI-1195121|uniprotkb:Q0P8E6	psi-mi:trmd_camje(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:Cj0713(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:trmD(gene name)	psi-mi:q0p8e6_camje(display_short)|uniprotkb:Cj1471c(locus name)|uniprotkb:ctsE(gene name)	psi-mi:"MI:0397"(two hybrid array)	Parrish JR. et al.(2007)	intact:EBI-1991756|pubmed:17615063	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-1338365	intact-miscore:0.37|author-based confidence:0.34
uniprotkb:Q72C30	uniprotkb:Q72DU3	intact:EBI-10069217|uniprotkb:Q72C30	uniprotkb:Q72DU3|intact:EBI-10069213	psi-mi:ispdf_nitv2(display_short)|psi-mi:Bifunctional enzyme IspD/IspF(display_long)|uniprotkb:ispD(gene name synonym)|uniprotkb:DVU_1454(locus name)|uniprotkb:ispDF(gene name)|uniprotkb:DVU1454(locus name)	psi-mi:trmd_nitv2(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:trmD(gene name)|uniprotkb:DVU_0836(locus name)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:DVU0836(locus name)	psi-mi:"MI:0676"(tandem affinity purification)	Shatsky M. et al.(2016)	intact:EBI-9634266|pubmed:26873250|imex:IM-22740	taxid:882(desvh)|taxid:882("Desulfovibrio vulgaris (strain Hildenborough / ATCC 29579 / NCIMB 8303)")	taxid:882(desvh)|taxid:882("Desulfovibrio vulgaris (strain Hildenborough / ATCC 29579 / NCIMB 8303)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-10069221|imex:IM-22740-233	intact-miscore:0.35
uniprotkb:Q72C30	uniprotkb:Q72DU3	intact:EBI-10069217|uniprotkb:Q72C30	uniprotkb:Q72DU3|intact:EBI-10069213	psi-mi:ispdf_nitv2(display_short)|psi-mi:Bifunctional enzyme IspD/IspF(display_long)|uniprotkb:ispD(gene name synonym)|uniprotkb:DVU_1454(locus name)|uniprotkb:ispDF(gene name)|uniprotkb:DVU1454(locus name)	psi-mi:trmd_nitv2(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:trmD(gene name)|uniprotkb:DVU_0836(locus name)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:DVU0836(locus name)	psi-mi:"MI:0676"(tandem affinity purification)	Shatsky M. et al.(2016)	intact:EBI-9634266|pubmed:26873250|imex:IM-22740	taxid:882(desvh)|taxid:882("Desulfovibrio vulgaris (strain Hildenborough / ATCC 29579 / NCIMB 8303)")	taxid:882(desvh)|taxid:882("Desulfovibrio vulgaris (strain Hildenborough / ATCC 29579 / NCIMB 8303)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-10069238|imex:IM-22740-234	intact-miscore:0.35
uniprotkb:Q72DU3	uniprotkb:Q72C30	uniprotkb:Q72DU3|intact:EBI-10069213	intact:EBI-10069217|uniprotkb:Q72C30	psi-mi:trmd_nitv2(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:trmD(gene name)|uniprotkb:DVU_0836(locus name)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:DVU0836(locus name)	psi-mi:ispdf_nitv2(display_short)|psi-mi:Bifunctional enzyme IspD/IspF(display_long)|uniprotkb:ispD(gene name synonym)|uniprotkb:DVU_1454(locus name)|uniprotkb:ispDF(gene name)|uniprotkb:DVU1454(locus name)	psi-mi:"MI:0676"(tandem affinity purification)	Shatsky M. et al.(2016)	intact:EBI-9634266|pubmed:26873250|imex:IM-22740	taxid:882(desvh)|taxid:882("Desulfovibrio vulgaris (strain Hildenborough / ATCC 29579 / NCIMB 8303)")	taxid:882(desvh)|taxid:882("Desulfovibrio vulgaris (strain Hildenborough / ATCC 29579 / NCIMB 8303)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-10070460|imex:IM-22740-302	intact-miscore:0.35
uniprotkb:O69289	uniprotkb:Q9PPJ4	uniprotkb:Q0P935|uniprotkb:Q9PN75|intact:EBI-1329536|uniprotkb:O69289	uniprotkb:Q0PAG6|intact:EBI-1329123|uniprotkb:Q9PPJ4	psi-mi:ch60_camje(display_short)|psi-mi:Chaperonin GroEL(display_long)|uniprotkb:60 kDa chaperonin(gene name synonym)|uniprotkb:Chaperonin-60(gene name synonym)|uniprotkb:groL(gene name synonym)|uniprotkb:mopA(gene name synonym)|uniprotkb:Cj1221(locus name)|uniprotkb:groEL(gene name)	psi-mi:trmd_camje(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:Cj0713(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:trmD(gene name)	psi-mi:"MI:0397"(two hybrid array)	Parrish JR. et al.(2007)	intact:EBI-1991756|pubmed:17615063	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-1362581	intact-miscore:0.37|author-based confidence:0.21
uniprotkb:Q0PAS1	uniprotkb:Q9PPJ4	uniprotkb:Q46105|intact:EBI-1191816|uniprotkb:Q0PAS1	uniprotkb:Q0PAG6|intact:EBI-1329123|uniprotkb:Q9PPJ4	psi-mi:cbf2_camje(display_short)|psi-mi:Putative peptidyl-prolyl cis-trans isomerase Cbf2(display_long)|uniprotkb:peb4A(gene name synonym)|uniprotkb:Cj0596(locus name)|uniprotkb:Major antigen peb4A(gene name synonym)|uniprotkb:Cell-binding factor 2(gene name synonym)|uniprotkb:Rotamase Cbf2(gene name synonym)|uniprotkb:cbf2(gene name)	psi-mi:trmd_camje(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:Cj0713(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:trmD(gene name)	psi-mi:"MI:0397"(two hybrid array)	Parrish JR. et al.(2007)	intact:EBI-1991756|pubmed:17615063	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-1357817	intact-miscore:0.37|author-based confidence:0.12
uniprotkb:Q9PMT4	uniprotkb:Q9PPJ4	uniprotkb:Q0P8P3|intact:EBI-1328923|uniprotkb:Q9PMT4	uniprotkb:Q0PAG6|intact:EBI-1329123|uniprotkb:Q9PPJ4	psi-mi:glms_camje(display_short)|psi-mi:Glutamine--fructose-6-phosphate aminotransferase [isomerizing](display_long)|uniprotkb:Hexosephosphate aminotransferase(gene name synonym)|uniprotkb:D-fructose-6-phosphate amidotransferase(gene name synonym)|uniprotkb:GFAT(gene name synonym)|uniprotkb:Glucosamine-6-phosphate synthase(gene name synonym)|uniprotkb:L-glutamine--D-fructose-6-phosphate amidotransferase(gene name synonym)|uniprotkb:Cj1366c(locus name)|uniprotkb:glmS(gene name)	psi-mi:trmd_camje(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:Cj0713(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:trmD(gene name)	psi-mi:"MI:0397"(two hybrid array)	Parrish JR. et al.(2007)	intact:EBI-1991756|pubmed:17615063	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-1362584	intact-miscore:0.37|author-based confidence:0.17
