Count;InterProID;pubmeds;Name;ShortDescription
2;IPR001208;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
pubmed:33961781";MCM domain;"<p>Proteins shown to be required for the initiation of eukaryotic DNA replication share a highly conserved domain of about 210 amino-acid residues [[cite:PUB00004410], [cite:PUB00004436], [cite:PUB00005507]]. The latter shows some similarities [[cite:PUB00004422]] with that of various other families of DNA-dependent ATPases. Eukaryotes seem to possess a family of eight proteins that contain this domain. They were first identified in yeast where most of them have a direct role in the initiation of chromosomal DNA replication by interacting directly with autonomously replicating sequences (ARS). They were thus called 'minichromosome maintenance proteins' with gene symbols prefixed by MCM. These six proteins are:</p>

<ul>
<li>MCM2, also known as cdc19 (in S.pombe).</li>
<li>MCM3, also known as DNA polymerase alpha holoenzyme-associated protein P1, RLF beta subunit or ROA.</li>
<li>MCM4, also known as CDC54, cdc21 (in S.pombe) or dpa (in Drosophila).</li>
<li>MCM5, also known as CDC46 or nda4 (in S.pombe).</li>
<li>MCM6, also known as mis5 (in S.pombe).</li>
<li>MCM7, also known as CDC47 or Prolifera (in A.thaliana).</li>
<li>MCM8, also known as as REC (in Drosophila).</li>
<li>MCM</li>
</ul>

<p>These proteins are evolutionarily related and belong to the AAA+ superfamily. They contain the Mcm family domain, which includes motifs that are required for ATP hydrolysis (such as the Walker A and B, and R-finger motifs). Mcm2-7 forms a hexameric complex which is the replicative helicase involved in replication initiation and elongation, whereas Mcm8 and Mcm9 from and separate one, conserved among many eukaryotes except yeast and C. elegans. Mcm8/9 complex play a role during replication elongation or recombination, being involved in the repair of double-stranded DNA breaks and DNA interstrand cross-links by homologous recombination. Drosophila is the only organism that has MCM8 without MCM9, involved in meiotic recombination [[cite:PUB00094697], [cite:PUB00094698]].</p>"
2;IPR012340;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
pubmed:33961781";Nucleic acid-binding, OB-fold;"<p>A five-stranded β-barrel was first noted as a common structure among four proteins binding single-stranded nucleic acids (staphylococcal nuclease and aspartyl-tRNA synthetase) or oligosaccharides (B subunits of enterotoxin and verotoxin-1), and has been termed the oligonucleotide/oligosaccharide binding motif, or OB fold, a five-stranded β-sheet coiled to form a closed β-barrel capped by an α helix located between the third and fourth strands [[cite:PUB00016307]]. Two ribosomal proteins, S17 and S1, are members of this class and have different variations of the OB fold theme. Comparisons with other OB fold nucleic acid binding proteins suggest somewhat different mechanisms of nucleic acid recognition in each case [[cite:PUB00011768]].</p>

<p>There are many nucleic acid-binding proteins that contain domains with this OB-fold structure, including:</p>

<ul><li>Large ribosomal subunit protein uL2</li>
  <li>Small ribosomal subunit protein uS12</li>
  <li>DNA ligase</li>
  <li>Polyribonucleotide nucleotidyltransferase</li>
  <li>Phage ssDNA-binding proteins (gp32, gp2.5, gpV)</li>
  <li>Holliday junction branch migration complex subunit RuvA</li>
  <li>Elongation factor P</li></ul>"
2;IPR041562;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
pubmed:33961781";MCM, AAA-lid domain;"<p>This entry represents the AAA-lid domain found in MCM proteins.</p>

<p>MCM proteins are DNA-dependent ATPases required for the initiation of eukaryotic DNA replication [[cite:PUB00004410], [cite:PUB00004436], [cite:PUB00005507]]. In eukaryotes there is a family of six proteins, MCM2 to MCM7. They were first identified in yeast where most of them have a direct role in the initiation of chromosomal DNA replication by interacting directly with autonomously replicating sequences (ARS). They were thus called minichromosome maintenance proteins, MCM proteins [[cite:PUB00004422]].</p>"
2;IPR003593;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
pubmed:33961781";AAA+ ATPase domain;"<p>This entry represents the AAA+ ATPase domain found in a range of proteins, including Holliday junction ATP-dependent DNA helicase RuvB from Mycobacterium sp, ATP synthases, and related ATP-dependent proteins.</p>; <p>The proteins in this superfamily are characterised by the structural conservation of a central ATPase domain of about 250 amino acids called the AAA  module. Typically, the AAA  domain can be divided into two structural subdomains, an N-terminal P-loop NTPase α-β-α subdomain that is connected to a smaller C-terminal all-α subdomain. The α-β-α subdomain adopts a Rossman fold and contains several motifs involved in ATP binding and hydrolysis, including classical motifs Walker A and Walker B [[cite:PUB00057226], [cite:PUB00057227]]. The all-α subdomain [[cite:PUB00005841]], is much less conserved across AAA  proteins.</p>; <p>The AAA+ superfamily of ATPases is found in all kingdoms of living organisms where they participate in diverse cellular processes including membrane fusion, proteolysis and DNA replication. Although the terms AAA+ and AAA are often used loosely and interchangeably, the classical AAA family members are distinguished by their possession of the SRH region in the AAA module. Many AAA+ proteins are involved in similar processes to those of AAA proteins (facilitation of protein folding and unfolding, assembly or disassembly of proteins complexes, protein transport and degradation), but others function in replication, recombination, repair and transcription. For a review see [[cite:PUB00057226]].</p>"
2;IPR033762;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
pubmed:33961781";MCM OB domain;<p>This OB-fold domain is found within MCM (mini-chromosome maintenance) proteins, which are components if the MCM complex involved in chromosome replication [[cite:PUB00081243]]. This domain, found at the N terminus, contains an insertion at the zinc binding motif [[cite:PUB00081234]].</p>
2;IPR031327;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
pubmed:33961781";Mini-chromosome maintenance protein;"<p>MCM proteins are DNA-dependent ATPases required for the initiation of eukaryotic DNA replication [[cite:PUB00004410], [cite:PUB00004436], [cite:PUB00005507]]. In eukaryotes there is a family of eight proteins, MCM2 to MCM9. They were first identified in yeast where most of them have a
direct role in the initiation of chromosomal DNA replication by interacting directly with autonomously replicating sequences (ARS). They were thus called minichromosome maintenance proteins, MCM proteins [[cite:PUB00004422]]. These proteins are evolutionarily related and belong to the AAA+ superfamily. They contain the Mcm family domain, which includes motifs that are required for ATP hydrolysis (such as the Walker A and B, and R-finger motifs). Mcm2-7 forms a hexameric complex [[cite:PUB00006390]] in which individual subunits associate with different affinities, and there is a tightly associated core of Mcm4 (Cdc21), Mcm6 (Mis5) and Mcm7 [[cite:PUB00006498]]. Mcm2-7 complex is the replicative helicase involved in replication initiation and elongation [[cite:PUB00006384]], whereas Mcm8 and Mcm9 from and separate one, conserved among many eukaryotes except yeast and C. elegans. Mcm8/9 complex play a role during replication elongation or recombination, being involved in the repair of double-stranded DNA breaks and DNA interstrand cross-links by homologous recombination. Drosophila is the only organism that has MCM8 without MCM9, involved in meiotic recombination [[cite:PUB00094697], [cite:PUB00094698]].</p>
<p>This family is also present in the archebacteria in 1 to 4 copies. Methanocaldococcus jannaschii (Methanococcus jannaschii) has four members, MJ0363, MJ0961, MJ1489 and MJECL13.</p>

<p>Schizosaccharomyces pombe (Fission yeast) MCMs, like those in metazoans, are found in the nucleus throughout the cell cycle.  This is in contrast to the Saccharomyces cerevisiae (Baker's yeast) in which MCM proteins move in and out of the nucleus during each cell cycle.  The assembly of the MCM complex in S. pombe is required for MCM localisation, ensuring that only intact MCM complexes remain in the nucleus [[cite:PUB00006510]].</p>"
1;IPR016496;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
pubmed:33961781";GTPase HflX;<p>This protein family is one of a number of homologous small, well-conserved GTP-binding proteins with pleiotropic effects. Bacterial family members are designated HflX, following the naming convention in Escherichia coli, where HflX is encoded immediately downstream of the RNA chaperone Hfq, and immediately upstream of HflKC, a membrane-associated protease pair with an important housekeeping function [[cite:PUB00043068]].</p>
1;IPR042108;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
pubmed:33961781";GTPase HflX, N-terminal domain superfamily;<p>This domain represents the N-terminal region of GTP-binding HflX-like proteins [[cite:PUB00057298], [cite:PUB00056762]]. These proteins interact with the 50S ribosome and are GTPases, hydrolysing GTP/GDP/ATP/ADP [[cite:PUB00056761]]. The N-terminal region is necessary for stability of the whole protein, its structure is composed of four parallel β-strand and four α-helices.</p>
1;IPR025121;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
pubmed:33961781";GTPase HflX, N-terminal;<p>This domain represents the N-terminal region of GTP-binding HflX-like proteins [[cite:PUB00057298], [cite:PUB00056762]]. These proteins interact with the 50S ribosome and are GTPases, hydrolysing GTP/GDP/ATP/ADP [[cite:PUB00056761]]. The N-terminal region is necessary for stability of the whole protein.</p>
1;IPR030394;"doi:10.1016/j.cell.2021.04.011
imex:IM-29278
pubmed:33961781";HflX-type guanine nucleotide-binding (G) domain;"<p>This entry represents the HflX-type G domain.</p>

<p>The P-loop guanosine triphosphatases (GTPases) control a multitude of biological processes, ranging from cell division, cell cycling, and signal transduction, to ribosome assembly and protein synthesis. GTPases exert their control by interchanging between an inactive GDP-bound state and an active GTP-bound state, thereby acting as molecular switches. The common denominator of GTPases is the highly conserved guanine nucleotide-binding (G) domain that is responsible for binding and hydrolysis of guanine nucleotides [[cite:PUB00013952], [cite:PUB00056841], [cite:PUB00056762]].</p>

<p>Within the translation factor-related (TRAFAC) class of P-loop GTPases, the HflX-type is a widely distributed family of GTPases that interact with the large ribosomal subunit. The broad phylogenetic distribution pattern of HflX GTPases in Bacteria, Archaea, and Eukaryotes (including human) suggests a basic cellular function for this protein family.</p>

<p>The HflX-type G domain is composed of six β-strands and five α-helices [[cite:PUB00056841]]. It consists of the following conserved sequence motifs: the G1 motif (or P-loop), consensus GX4GK(S/T), which is responsible for interacting with the alpha and beta-phosphates of nucleotide di- and triphosphates; the G2 variable effector loop (DXnT); the G3 motif (DX2G), which interacts with the gamma-phosphate of nucleotide triphosphates; and the G4 motif (NKXD), which conveys specificity for guanine nucleotides through hydrogen bonding to the base [[cite:PUB00056762]].</p>"
