A0A1D6PFP9,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A0A1D6QCH9,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,imex:IM-29553|pubmed:36581701
A4FUJ8,Brak nazwy,Homo sapiens,IPR043451|IPR004018|IPR003034|IPR036361,doi:10.1016/j.celrep.2020.108050|imex:IM-28217|pubmed:32814053
B4FKB7,Brak nazwy,Zea mays,IPR006476,imex:IM-29553|pubmed:36581701
B4FL26,Brak nazwy,Zea mays,IPR006571,imex:IM-29553|pubmed:36581701
B4FTM1,Tubulin beta chain,Zea mays,IPR002453|IPR008280|IPR000217|IPR037103|IPR018316|IPR036525|IPR023123|IPR017975|IPR003008,imex:IM-29553|pubmed:36581701
B6SHM7,40S ribosomal protein S7,Zea mays,IPR000554|IPR047861,imex:IM-29553|pubmed:36581701
B6SLW1,Brak nazwy,Zea mays,IPR050230|IPR011992|IPR018247|IPR002048,imex:IM-29553|pubmed:36581701
B6SUL0,Autophagy-related protein,Zea mays,IPR004241|IPR029071,imex:IM-29553|pubmed:36581701
C0PGK8,Auxin response factor,Zea mays,IPR010525|IPR044835|IPR003340|IPR015300,imex:IM-29553|pubmed:36581701
C0PHW4,FAD-binding PCMH-type domain-containing protein,Zea mays,IPR012951|IPR016166|IPR036318|IPR016167|IPR016169|IPR006094,imex:IM-29553|pubmed:36581701
C0PJN1,ENTH domain-containing protein,Zea mays,IPR011417|IPR014712|IPR048050|IPR045192|IPR013809|IPR008942,imex:IM-29553|pubmed:36581701
G5E9A7,Brak nazwy,Homo sapiens,IPR015943|IPR036322|IPR001680|IPR051362,doi:10.1016/j.celrep.2020.108050|imex:IM-28217|pubmed:32814053
K7UKT1,Brak nazwy,Zea mays,IPR029962|IPR026057|IPR025846,imex:IM-29553|pubmed:36581701
O00231,26S proteasome non-ATPase regulatory subunit 11,Homo sapiens,IPR050871|IPR000717|IPR040780|IPR040773|IPR011990|IPR036390,doi:10.1016/j.cell.2021.04.011|imex:IM-12079|imex:IM-12193|imex:IM-29278|pubmed:19490896|pubmed:19615732|pubmed:33961781
O00232,26S proteasome non-ATPase regulatory subunit 12,Homo sapiens,IPR000717|IPR054559|IPR040134|IPR040896|IPR036388|IPR036390,doi:10.1016/j.cell.2021.04.011|imex:IM-12079|imex:IM-12193|imex:IM-29278|pubmed:19490896|pubmed:19615732|pubmed:33961781
O00487,Ubiquitin C-terminal hydrolase PSMD14,Homo sapiens,IPR000555|IPR050242|IPR037518|IPR056263,doi:10.1016/j.cell.2021.04.011|imex:IM-12079|imex:IM-12193|imex:IM-24272|imex:IM-29278|pubmed:19490896|pubmed:19615732|pubmed:26496610|pubmed:33961781
O14649,Potassium channel subfamily K member 3,Homo sapiens,IPR003280|IPR003092|IPR013099|IPR005406,imex:IM-29540|pubmed:36012204
O14715,RANBP2-like and GRIP domain-containing protein 8,Homo sapiens,IPR032023|IPR000237|IPR011993|IPR000156|IPR045255|IPR011990|IPR019734,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
O14818,Proteasome subunit alpha type-7,Homo sapiens,IPR029055|IPR050115|IPR023332|IPR000426|IPR001353,imex:IM-12193|pubmed:19490896
O14862,Interferon-inducible protein AIM2,Homo sapiens,IPR004020|IPR011029|IPR040205|IPR004021|IPR012340,imex:IM-23523|pubmed:25665578
O15381-5,Isoform 5 of Nuclear valosin-containing protein-like,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1016/j.celrep.2020.108050|imex:IM-28217|pubmed:32814053
O15392,Baculoviral IAP repeat-containing protein 5,Homo sapiens,IPR051190|IPR001370,doi:10.1016/j.celrep.2020.108050|imex:IM-28217|pubmed:32814053
O43242,26S proteasome non-ATPase regulatory subunit 3,Homo sapiens,IPR050756|IPR000717|IPR013586|IPR011990|IPR057985|IPR036390,doi:10.1016/j.cell.2021.04.011|imex:IM-12079|imex:IM-12193|imex:IM-29278|pubmed:19490896|pubmed:19615732|pubmed:33961781
O43318,Mitogen-activated protein kinase kinase kinase 7,Homo sapiens,IPR011009|IPR049637|IPR000719|IPR017441|IPR001245|IPR008271,doi:10.1016/j.molcel.2020.07.001|imex:IM-29257|pubmed:32707033
O43396,Thioredoxin-like protein 1,Homo sapiens,IPR008979|IPR010400|IPR037047|IPR036249|IPR017937|IPR013766,imex:IM-12079|pubmed:19615732
O60739,Eukaryotic translation initiation factor 1b,Homo sapiens,IPR001950|IPR036877|IPR005874,doi:10.1016/j.celrep.2020.108050|imex:IM-28217|pubmed:17353931|pubmed:32814053
O75317,Ubiquitin carboxyl-terminal hydrolase 12,Homo sapiens,IPR038765|IPR050164|IPR001394|IPR028889|IPR018200,imex:IM-12079|pubmed:19615732
O75832,26S proteasome non-ATPase regulatory subunit 10,Homo sapiens,IPR051637|IPR002110|IPR036770,doi:10.1016/j.cell.2021.04.011|imex:IM-12079|imex:IM-12193|imex:IM-29278|pubmed:19490896|pubmed:19615732|pubmed:33961781
O95777,U6 snRNA-associated Sm-like protein LSm8,Homo sapiens,IPR034103|IPR010920|IPR044642|IPR047575|IPR001163,doi:10.1016/j.celrep.2020.108050|imex:IM-28217|pubmed:32814053
O95789,Zinc finger MYM-type protein 6,Homo sapiens,IPR012337|IPR011017|IPR010507|IPR051284,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
O96006,E3 SUMO-protein ligase ZBED1,Homo sapiens,IPR008906|IPR012337|IPR052717|IPR003656|IPR036236,imex:IM-23318|pubmed:25416956
P00441,Superoxide dismutase [Cu-Zn],Homo sapiens,IPR036423|IPR024134|IPR018152|IPR001424,doi:10.1016/j.cels.2017.10.010|imex:IM-26363|pubmed:29128334
P00533,Epidermal growth factor receptor,Homo sapiens,IPR006211|IPR006212|IPR032778|IPR009030|IPR011009|IPR000719|IPR017441|IPR000494|IPR036941|IPR050122|IPR001245|IPR049328|IPR008266|IPR020635|IPR016245,imex:IM-17166|imex:IM-26434|pubmed:20029029|pubmed:31980649
P04637,Cellular tumor antigen p53,Homo sapiens,IPR008967|IPR012346|IPR057064|IPR011615|IPR040926|IPR036674|IPR010991|IPR013872|IPR002117,doi:10.1016/j.celrep.2020.108050|imex:IM-28217|pubmed:32814053
P05067,Amyloid-beta precursor protein,Homo sapiens,IPR036669|IPR008155|IPR013803|IPR037071|IPR011178|IPR024329|IPR008154|IPR015849|IPR036454|IPR019745|IPR019543|IPR019744|IPR036176|IPR002223|IPR036880|IPR011993|IPR020901,doi:10.1016/j.celrep.2020.108050|imex:IM-20090|imex:IM-28217|pubmed:16049941|pubmed:32814053
P05067-2,Isoform APP305 of Amyloid-beta precursor protein,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1016/j.celrep.2020.108050|imex:IM-28217|pubmed:32814053
