Count;InterProID;pubmeds;Name;ShortDescription
13;IPR011009;"doi:10.1016/j.cell.2021.04.011
doi:10.1038/nn.4594
doi:10.1038/s41467-022-33018-0
imex:IM-11875
imex:IM-15154
imex:IM-26285
imex:IM-29278
imex:IM-30294
pubmed:10234050
pubmed:17610306
pubmed:22174833
pubmed:28671696
pubmed:33961781
pubmed:36115835
pubmed:9539129
pubmed:unassigned4";Protein kinase-like domain superfamily;"<p>This entry represents the protein kinase domain superfamily containing the catalytic function of protein kinases. This domain is found in serine/threonine-protein kinases, tyrosine-protein kinases and dual-specificity protein kinases. Protein kinases ([interpro:IPR000719]) modify other proteins by chemically adding phosphate groups to them. This process is fundamental to most signalling and regulatory processes in the eukaryotic cell [[cite:PUB00014025]].</p>; <p>Eukaryotic protein kinases [[cite:PUB00003569], [cite:PUB00005115], [cite:PUB00015293], [cite:PUB00001530], [cite:PUB00003568]] are enzymes that belong to a very extensive family of proteins which share a conserved catalytic core common with both serine/threonine and tyrosine protein kinases. There are a number of conserved regions in the catalytic domain of protein kinases. In the N-terminal extremity of the catalytic domain there is a glycine-rich stretch of residues in the vicinity of a lysine residue, which has been shown to be involved in ATP binding. In the central part of the catalytic domain there is a conserved aspartic acid residue which is important for the catalytic activity of the enzyme [[cite:PUB00005145]].</p>; <p>Protein phosphorylation, which plays a key role in most cellular activities, is a reversible process mediated by protein kinases and phosphoprotein phosphatases. Protein kinases catalyse the transfer of the gamma phosphate from nucleotide triphosphates (often ATP) to one or more amino acid residues in a protein substrate side chain, resulting in a conformational change affecting protein function. Phosphoprotein phosphatases catalyse the reverse process. 
Protein kinases fall into three broad classes, characterised with respect to substrate specificity [[cite:PUB00005115]]:</p>

<ul>
<li>Serine/threonine-protein kinases</li>
<li>Tyrosine-protein kinases</li>
<li>Dual specificity protein kinases (e.g. MEK -phosphorylates both Thr and Tyr on target proteins)</li>
</ul>

<p>Protein kinase function is evolutionarily conserved from Escherichia coli to human [[cite:PUB00020114]]. Protein kinases play a role in a multitude of cellular processes, including division, proliferation, apoptosis, and differentiation [[cite:PUB00015362]]. Phosphorylation usually results in a functional change of the target protein by changing enzyme activity, cellular location, or association with other proteins. The catalytic subunits of protein kinases are highly conserved, and several structures have been solved [[cite:PUB00034898]], leading to large screens to develop kinase-specific inhibitors for the treatments of a number of diseases [[cite:PUB00034899]].</p>"
13;IPR036291;"imex:IM-11875
imex:IM-15154
imex:IM-9475
pubmed:17610306
pubmed:19423573
pubmed:22174833";NAD(P)-binding domain superfamily;"<p>This entry represents NAD- and NADP-binding domains superfamily with a core Rossmann-type fold, which consists of three layers (α/β/α) with parallel β-sheet of 6 strands. Many different enzymes contain an NAD/NADP-binding domain, including:</p>

<ul>
<li>C-terminal domain of alcohol dehydrogenases [[cite:PUB00031657]]</li>
<li>Tyrosine-dependent oxidoreductases (also known as short-chain dehydrogenases) [[cite:PUB00000446]]</li>
<li>N-terminal domain of glyceraldehyde-3-phosphate dehydrogenase [[cite:PUB00023536]]</li>
<li>NAD-binding domain of formate/glycerate dehydrogenases [[cite:PUB00032846]]</li>
<li>N-terminal domain of sirohaem synthase [[cite:PUB00029889]]</li>
<li>N-terminal domain of lactate dehydrogenase [[cite:PUB00025866]]</li>
<li>N-terminal domain of 6-phosphogluconate dehydrogenase (the β-sheet is extended to 8 strands) [[cite:PUB00041823]]</li>
<li>C-terminal domain of amino acid dehydrogenases (an extra N-terminal helix displaces the C-terminal helix [[cite:PUB00025375]]</li>
<li>NAD-binding domain of certain potassium channels [[cite:PUB00025981]]</li>
<li>C-terminal domain of the transcriptional repressor Rex [[cite:PUB00032388]]</li>
<li>Ornithine cyclodeaminase [[cite:PUB00031693]]</li>
<li>CoA-binding N-terminal domain of the alpha chain of succinyl-CoA synthetase [[cite:PUB00015984]]</li>
</ul>"
13;IPR023410;"imex:IM-15154
imex:IM-9475
pubmed:10230800
pubmed:19423573
pubmed:22174833";14-3-3 domain;"<p>This entry represents the structural domain found in 14-3-3 proteins.</p>; <p>The 14-3-3 proteins are a large family of approximately 30kDa acidic proteins which exist primarily as homo- and heterodimers within all eukaryotic cells [[cite:PUB00003264], [cite:PUB00007085]]. These are structurally similar phospho-binding proteins that regulate multiple signaling pathways [[cite:PUB00097184]]. There is a high degree of sequence identity and conservation between all the 14-3-3 isotypes, particularly in the regions which form the dimer interface or line the central ligand binding channel of the dimeric molecule. Each 14-3-3 protein sequence can be roughly divided into three sections: a divergent amino terminus, the conserved core region and a divergent carboxyl terminus. The conserved middle core region of the 14-3-3s encodes an amphipathic groove that forms the main functional domain, a cradle for interacting with client proteins. The monomer consists of nine helices organised in an antiparallel manner, forming an L-shaped structure. The interior of the L-structure is composed of four helices: H3 and H5, which contain many charged and polar amino acids, and H7 and H9, which contain hydrophobic amino acids. These four helices form the concave amphipathic groove that interacts with target peptides.</p>

<p>The 14-3-3 proteins mainly bind proteins containing phosphothreonine or phosphoserine motifs, however exceptions to this rule do exist. Extensive investigation of the 14-3-3 binding site of the mammalian serine/threonine kinase Raf-1 has produced a consensus sequence for 14-3-3-binding, RSxpSxP (in the single-letter amino-acid code, where x denotes any amino acid and p indicates that the next residue is phosphorylated). The 14-3-3 proteins appear to effect intracellular signalling in one of three ways - by direct regulation of the catalytic activity of the bound protein, by regulating interactions between the bound protein and other molecules in the cell by sequestration or modification or by controlling the subcellular localisation of the bound ligand. Proteins appear to initially bind to a single dominant site and then subsequently to many, much weaker secondary interaction sites. The 14-3-3 dimer is capable of changing the conformation of its bound ligand whilst itself undergoing minimal structural alteration.</p>"
13;IPR036815;"imex:IM-15154
imex:IM-9475
pubmed:10230800
pubmed:19423573
pubmed:22174833";14-3-3 domain superfamily;"<p>The 14-3-3 proteins are a large family of approximately 30kDa acidic proteins which exist primarily as homo- and heterodimers within all eukaryotic cells [[cite:PUB00003264], [cite:PUB00007085]]. These are structurally similar phospho-binding proteins that regulate multiple signaling pathways [[cite:PUB00097184]]. There is a high degree of sequence identity and conservation between all the 14-3-3 isotypes, particularly in the regions which form the dimer interface or line the central ligand binding channel of the dimeric molecule. Each 14-3-3 protein sequence can be roughly divided into three sections: a divergent amino terminus, the conserved core region and a divergent carboxyl terminus. The conserved middle core region of the 14-3-3s encodes an amphipathic groove that forms the main functional domain, a cradle for interacting with client proteins. The monomer consists of nine helices organised in an antiparallel manner, forming an L-shaped structure. The interior of the L-structure is composed of four helices: H3 and H5, which contain many charged and polar amino acids, and H7 and H9, which contain hydrophobic amino acids. These four helices form the concave amphipathic groove that interacts with target peptides.</p>

<p>The 14-3-3 proteins mainly bind proteins containing phosphothreonine or phosphoserine motifs, however exceptions to this rule do exist. Extensive investigation of the 14-3-3 binding site of the mammalian serine/threonine kinase Raf-1 has produced a consensus sequence for 14-3-3-binding, RSxpSxP (in the single-letter amino-acid code, where x denotes any amino acid and p indicates that the next residue is phosphorylated). The 14-3-3 proteins appear to effect intracellular signalling in one of three ways - by direct regulation of the catalytic activity of the bound protein, by regulating interactions between the bound protein and other molecules in the cell by sequestration or modification or by controlling the subcellular localisation of the bound ligand. Proteins appear to initially bind to a single dominant site and then subsequently to many, much weaker secondary interaction sites. The 14-3-3 dimer is capable of changing the conformation of its bound ligand whilst itself undergoing minimal structural alteration.</p>"
13;IPR000308;"imex:IM-15154
imex:IM-9475
pubmed:10230800
pubmed:19423573
pubmed:22174833";14-3-3 protein;"<p>The 14-3-3 proteins are a large family of approximately 30kDa acidic proteins which exist primarily as homo- and heterodimers within all eukaryotic cells [[cite:PUB00003264], [cite:PUB00007085]]. These are structurally similar phospho-binding proteins that regulate multiple signaling pathways [[cite:PUB00097184]]. There is a high degree of sequence identity and conservation between all the 14-3-3 isotypes, particularly in the regions which form the dimer interface or line the central ligand binding channel of the dimeric molecule. Each 14-3-3 protein sequence can be roughly divided into three sections: a divergent amino terminus, the conserved core region and a divergent carboxyl terminus. The conserved middle core region of the 14-3-3s encodes an amphipathic groove that forms the main functional domain, a cradle for interacting with client proteins. The monomer consists of nine helices organised in an antiparallel manner, forming an L-shaped structure. The interior of the L-structure is composed of four helices: H3 and H5, which contain many charged and polar amino acids, and H7 and H9, which contain hydrophobic amino acids. These four helices form the concave amphipathic groove that interacts with target peptides.</p>

<p>The 14-3-3 proteins mainly bind proteins containing phosphothreonine or phosphoserine motifs, however exceptions to this rule do exist. Extensive investigation of the 14-3-3 binding site of the mammalian serine/threonine kinase Raf-1 has produced a consensus sequence for 14-3-3-binding, RSxpSxP (in the single-letter amino-acid code, where x denotes any amino acid and p indicates that the next residue is phosphorylated). The 14-3-3 proteins appear to effect intracellular signalling in one of three ways - by direct regulation of the catalytic activity of the bound protein, by regulating interactions between the bound protein and other molecules in the cell by sequestration or modification or by controlling the subcellular localisation of the bound ligand. Proteins appear to initially bind to a single dominant site and then subsequently to many, much weaker secondary interaction sites. The 14-3-3 dimer is capable of changing the conformation of its bound ligand whilst itself undergoing minimal structural alteration.</p>"
13;IPR023409;"imex:IM-15154
imex:IM-9475
pubmed:10230800
pubmed:19423573
pubmed:22174833";14-3-3 protein, conserved site;"<p>The 14-3-3 proteins are a family of closely related acidic homodimeric proteins of about 30kDa which were first identified as being very abundant in mammalian brain tissues and located preferentially in neurons [[cite:PUB00005447], [cite:PUB00005192], [cite:PUB00004213]].  The 14-3-3 proteins seem to have multiple biological activities and play a key role in signal transduction pathways and the cell cycle. They interacts with kinases such as PKC or Raf-1; they seem to also function as protein-kinase dependent activators of tyrosine and tryptophan hydroxylases and in plants they are associated with a complex that binds to the G-box promoter elements.</p>

<p>The 14-3-3 family of proteins are ubiquitously found in all eukaryotic species studied and have been sequenced in fungi (yeast BMH1 and BMH2, fission yeast rad24 and rad25), plants, Drosophila, and vertebrates. The sequences of the 14-3-3 proteins are extremely well conserved. As signature patterns we have selected two highly conserved regions: the first is a peptide of 11 residues located in the N-terminal section; the second, a 20 amino acid region located in the C-terminal section.</p>"
12;IPR000719;"doi:10.1016/j.cell.2021.04.011
doi:10.1038/nn.4594
doi:10.1038/s41467-022-33018-0
imex:IM-11875
imex:IM-15154
imex:IM-26285
imex:IM-29278
imex:IM-30294
pubmed:10234050
pubmed:17610306
pubmed:22174833
pubmed:28671696
pubmed:33961781
pubmed:36115835
pubmed:unassigned4";Protein kinase domain;"<p>This entry represents the protein kinase domain containing the catalytic function of protein kinases [[cite:PUB00003569]]. This domain is found in serine/threonine-protein kinases, tyrosine-protein kinases and dual specificity protein kinases.</p>; <p>Eukaryotic protein kinases [[cite:PUB00003569], [cite:PUB00005115], [cite:PUB00015293], [cite:PUB00001530], [cite:PUB00003568]] are enzymes that belong to a very extensive family of proteins which share a conserved catalytic core common with both serine/threonine and tyrosine protein kinases. There are a number of conserved regions in the catalytic domain of protein kinases. In the N-terminal extremity of the catalytic domain there is a glycine-rich stretch of residues in the vicinity of a lysine residue, which has been shown to be involved in ATP binding. In the central part of the catalytic domain there is a conserved aspartic acid residue which is important for the catalytic activity of the enzyme [[cite:PUB00005145]].</p>; <p>Protein phosphorylation, which plays a key role in most cellular activities, is a reversible process mediated by protein kinases and phosphoprotein phosphatases. Protein kinases catalyse the transfer of the gamma phosphate from nucleotide triphosphates (often ATP) to one or more amino acid residues in a protein substrate side chain, resulting in a conformational change affecting protein function. Phosphoprotein phosphatases catalyse the reverse process. 
Protein kinases fall into three broad classes, characterised with respect to substrate specificity [[cite:PUB00005115]]:</p>

<ul>
<li>Serine/threonine-protein kinases</li>
<li>Tyrosine-protein kinases</li>
<li>Dual specificity protein kinases (e.g. MEK -phosphorylates both Thr and Tyr on target proteins)</li>
</ul>

<p>Protein kinase function is evolutionarily conserved from Escherichia coli to human [[cite:PUB00020114]]. Protein kinases play a role in a multitude of cellular processes, including division, proliferation, apoptosis, and differentiation [[cite:PUB00015362]]. Phosphorylation usually results in a functional change of the target protein by changing enzyme activity, cellular location, or association with other proteins. The catalytic subunits of protein kinases are highly conserved, and several structures have been solved [[cite:PUB00034898]], leading to large screens to develop kinase-specific inhibitors for the treatments of a number of diseases [[cite:PUB00034899]].</p>"
12;IPR004172;"doi:10.1038/s41467-022-33018-0
imex:IM-15154
imex:IM-30294
imex:IM-9475
pubmed:19423573
pubmed:22174833
pubmed:36115835";L27 domain;"<p>The L27 domain is a ~50-amino acid module, initially identified in the Lin-2 and Lin-7 proteins, that exists in a large family of animal scaffold proteins [[cite:PUB00018473]]. The L27 domain is a specific protein-protein interaction module capable of forming heteromeric complexes that can integrate multiple scaffold proteins into supramolecular assemblies required for establishment and maintenance of cell polarity. The L27 domain can be found as a single occurrence or as a duplication in association with other domains such as PDZ, SH3, the guanylate kinase domain or the serine/threonine protein kinase domain.</p>

<p>The main features of the L27 domain are conserved negatively charged residues and a conserved aromatic amino acid [[cite:PUB00018473]]. Study of individual L27 domains revealed largely unfolded domains that require the formation of obligate heterodimers to achieve well-folded structures. Each L27 domain is composed of three helices. The two L27 domains heterodimerize by building a compact structure consisting of a four-helix bundle formed by the first two helices of each L27 domain and one coiled-coil formed by the third helix of each domain [[cite:PUB00018474], [cite:PUB00018475]].</p>"
12;IPR036892;"doi:10.1038/s41467-022-33018-0
imex:IM-15154
imex:IM-30294
imex:IM-9475
pubmed:19423573
pubmed:22174833
pubmed:36115835";L27 domain superfamily;"<p>The L27 domain is a ~50-amino acid module, initially identified in the Lin-2 and Lin-7 proteins, that exists in a large family of animal scaffold proteins [[cite:PUB00018473]]. The L27 domain is a specific protein-protein interaction module capable of forming heteromeric complexes that can integrate multiple scaffold proteins into supramolecular assemblies required for establishment and maintenance of cell polarity. The L27 domain can be found as a single occurrence or as a duplication in association with other domains such as PDZ, SH3, the guanylate kinase domain or the serine/threonine protein kinase domain.</p>

<p>The main features of the L27 domain are conserved negatively charged residues and a conserved aromatic amino acid [[cite:PUB00018473]]. Study of individual L27 domains revealed largely unfolded domains that require the formation of obligate heterodimers to achieve well-folded structures. Each L27 domain is composed of three helices. The two L27 domains heterodimerize by building a compact structure consisting of a four-helix bundle formed by the first two helices of each L27 domain and one coiled-coil formed by the third helix of each domain [[cite:PUB00018474], [cite:PUB00018475]].</p>"
12;IPR008144;"doi:10.1038/s41467-022-33018-0
imex:IM-30294
pubmed:36115835";Guanylate kinase-like domain;"<p>Guanylate kinase ([ec:2.7.4.8]) (GK) [[cite:PUB00003284]] catalyzes the ATP-dependent phosphorylation of GMP into GDP. It is essential for recycling GMP and indirectly, cGMP. In prokaryotes (such as Escherichia coli), lower eukaryotes (such as yeast) and in vertebrates, GK is a highly conserved monomeric protein of about 200 amino acids. GK has been shown [[cite:PUB00000870], [cite:PUB00001440], [cite:PUB00005396]] to be structurally similar to protein A57R (or SalG2R) from various strains of Vaccinia virus.</p>

<p>Proteins containing one or more copies of the DHR domain, an SH3 domain as well as a C-terminal GK-like domain, are collectively termed MAGUKs (membrane-associated guanylate kinase homologues) [[cite:PUB00003556]], and include Drosophila lethal(1)discs large-1 tumor suppressor protein (gene dlg1); mammalian tight junction protein Zo-1; a family of mammalian synaptic proteins that seem to interact with the cytoplasmic tail of NMDA receptor subunits (SAP90/PSD-95, CHAPSYN-110/PSD-93, SAP97/DLG1 and SAP102); vertebrate 55kDa erythrocyte membrane protein (p55); Caenorhabditis elegans protein lin-2; rat protein CASK; and human proteins DLG2 and DLG3.</p>

<p>There is an ATP-binding site (P-loop) in the N-terminal section of GK, which is not conserved in the GK-like domain of the above proteins. However these proteins retain the residues known, in GK, to be involved in the binding of GMP.</p>"
